	6.710815	-4.566619	3.136414	-2.035522	36.083240
	7.336426	-4.610046	3.078511	-2.191162	39.007340
	7.446289	-4.640928	2.123111	-2.526855	38.688870
	7.357788	-4.699796	1.187012	-2.853394	35.513860
	7.330322	-4.880261	1.582683	-2.914429	33.554810
	7.406616	-5.009577	1.988004	-3.027344	33.217040
	7.339478	-4.983521	2.036257	-2.987671	33.709210
	7.296753	-5.040459	2.084509	-2.621460	34.278590
	7.403564	-5.155300	2.200315	-2.401733	34.722520
	7.614136	-5.341555	1.833596	-2.050781	35.919180
	7.464600	-5.135999	0.714137	-1.953125	36.536810
	7.287598	-4.720062	0.057900	-2.023315	35.639310
	7.446289	-4.681460	0.000000	-2.160645	34.944480
	7.119751	-4.548283	1.515129	-1.498413	32.309890
	7.168579	-4.512577	1.823945	-1.400757	32.589760
	7.083130	-4.335007	1.737091	-1.214600	32.136180
	7.159424	-4.371679	1.843246	-1.373291	32.445000
	6.930542	-4.313776	2.238917	-1.101685	32.638010
	6.741333	-4.170949	2.895151	-0.421143	32.599400
	6.842041	-4.075408	3.715444	-0.094600	32.251990
	7.104492	-4.265523	4.053212	-0.750732	32.030030
	6.924438	-4.517402	4.130416	-1.071167	30.891270
	6.768799	-4.385190	4.024261	-0.741577	30.341190
	6.799316	-4.440197	4.912107	-0.991821	29.887610
	6.848145	-4.591711	6.446537	-1.223755	30.746510
	6.939697	-4.888946	6.736053	-1.400757	29.665650
	7.049561	-4.907282	7.179976	-1.596069	29.694600
	7.189941	-4.899562	7.411588	-2.276611	30.843010
	7.135010	-5.059760	7.565996	-2.752686	28.584790
	7.208252	-5.120558	8.009919	-2.996826	28.662000
	7.293701	-5.345415	8.830212	-3.646851	27.224070
	7.351685	-5.316463	9.119727	-3.567505	27.503940
	7.458496	-5.329009	8.009919	-4.077148	29.125220
	7.525635	-5.332870	6.948363	-4.345703	32.194080
	7.589722	-5.637825	7.344034	-4.617310	31.798410
	7.650757	-5.611769	7.672151	-4.562378	32.010720
	7.852173	-5.592468	8.058171	-4.803467	30.611400
	7.989502	-5.603084	7.990618	-4.934692	31.865970
	7.894897	-5.661952	7.344034	-4.772949	37.521160
	7.760620	-5.646511	7.508093	-4.425049	38.129140
	7.739258	-5.595363	7.228228	-3.955078	35.253300
	7.937622	-5.554831	7.218577	-3.952026	32.908220
	8.261108	-5.373402	7.604598	-3.948975	31.209730
	8.306885	-5.180391	7.353684	-3.753662	30.804410
	8.218384	-5.033704	6.658848	-3.271484	29.829710
	8.184814	-5.193902	7.903763	-2.847290	28.391780
	8.071899	-5.251805	9.177630	-2.450562	27.349530
	7.955933	-5.156265	7.160675	-1.846313	25.660690
	8.032227	-5.129244	7.372986	-1.736450	25.930910
	8.285522	-5.426479	6.629897	-1.019287	26.509940
	8.172607	-5.277862	6.658848	-0.732422	27.397780
	8.071899	-5.207413	6.060517	-1.525879	27.040710
