  Ex = [mV]  ,  Ey = [mV]  ,Hx = [mV]  ,Hy = [mV]  ,Hz = [mV]  
  0.982666  ,  0.4342728  ,  2.471924  ,  0.6134033  ,  -1.907349  
  -0.5065918  ,  -0.1312469  ,  1.202393  ,  0.1800537  ,  -1.086426  
  -1.35498  ,  -9.264486E-02  ,  -0.2288818  ,  -0.4638672  ,  -0.3570557  
  -2.197266  ,  0.2142412  ,  -0.3601074  ,  -0.9674072  ,  -0.4821777  
  -4.330444  ,  0.7295783  ,  1.321411  ,  -2.001953  ,  -1.095581  
  -2.313232  ,  0.2692491  ,  1.599121  ,  -2.06604  ,  -1.239014  
  0.7324219  ,  -0.1158061  ,  -0.177002  ,  -1.370239  ,  -1.013184  
  3.134155  ,  -7.141374E-02  ,  -1.052856  ,  0.0579834  ,  -1.519775  
  0.8117676  ,  0.3039909  ,  -0.1678467  ,  0.2105713  ,  -1.78833  
  -4.882813E-02  ,  0.4834903  ,  1.385498  ,  0.1342773  ,  -1.77002  
  0.2288818  ,  -3.088162E-02  ,  0.6225586  ,  0.100708  ,  -1.605225  
  1.385498  ,  8.878465E-02  ,  -0.4119873  ,  0.3753662  ,  -1.611328  
  1.043701  ,  0.3647891  ,  0.9094238  ,  0.8972168  ,  -2.062988  
  -1.974487  ,  0.7006267  ,  2.331543  ,  0.1403809  ,  -1.806641  
  -1.779175  ,  0.2605636  ,  2.301025  ,  -0.3540039  ,  -1.699829  
  -1.019287  ,  -0.2364374  ,  -0.1373291  ,  -0.7324219  ,  -1.245117  
  -0.5279541  ,  0.1235265  ,  -0.491333  ,  -0.6408691  ,  -1.364136  
  -0.4058838  ,  0.3503134  ,  0.6530762  ,  -0.4302979  ,  -1.651001  
  -0.1373291  ,  0.3454881  ,  1.333618  ,  -0.2380371  ,  -1.739502  
  0.7293701  ,  0.2364374  ,  1.477051  ,  0.3234863  ,  -1.950073  
  0.3723145  ,  0.3522435  ,  1.605225  ,  0.6530762  ,  -2.362061  
  -0.2227783  ,  0.324257  ,  1.452637  ,  0.5401611  ,  -2.46582  
  -6.103516E-03  ,  0.2451228  ,  1.586914  ,  0.6195068  ,  -2.203369  
  0.2502441  ,  -0.2026606  ,  2.441406E-02  ,  0.5157471  ,  -1.38855  
  5.453491  ,  -7.141374E-02  ,  -1.35498  ,  2.06604  ,  -1.544189  
  5.410767  ,  0.5182322  ,  1.040649  ,  4.107666  ,  -2.978516  
  -1.821899  ,  0.1968703  ,  1.867676  ,  2.337646  ,  -2.1698  
  -3.161621  ,  -4.632243E-02  ,  0.592041  ,  0.579834  ,  -1.05896  
  -2.27356  ,  -9.071475E-02  ,  -0.8575439  ,  -0.2746582  ,  -0.5615234  
  1.531982  ,  0.1852897  ,  -0.6439209  ,  0.8850098  ,  -1.538086  
  -0.3967285  ,  1.158061E-02  ,  -0.6072998  ,  0.7324219  ,  -1.797485  
  -2.822876  ,  -2.895152E-02  ,  -1.531982  ,  -0.6256104  ,  -0.958252  
  -1.464844  ,  0.1988004  ,  -1.51062  ,  -0.7629395  ,  -0.9246826  
  0.994873  ,  0.342593  ,  -0.7171631  ,  0.1525879  ,  -1.663208  
  0.2502441  ,  0.2074859  ,  -0.4058838  ,  0.4089355  ,  -1.959229  
  -0.2166748  ,  0.3406628  ,  -0.189209  ,  0.3173828  ,  -2.105713  
  -6.713867E-02  ,  0.2837249  ,  0.1678467  ,  0.390625  ,  -2.651978  
  0.2075195  ,  0.3261871  ,  0.567627  ,  0.567627  ,  -2.429199  
  -0.3601074  ,  0.3840901  ,  1.397705  ,  0.5706787  ,  -1.904297  
  -2.600098  ,  6.755354E-03  ,  0.5432129  ,  -0.5340576  ,  -0.9857178  
  -1.739502  ,  -2.026606E-02  ,  -0.7232666  ,  -1.104736  ,  -0.8483887  
  1.190186  ,  0.2895152  ,  -0.2593994  ,  -5.493164E-02  ,  -1.77002  
  1.327515  ,  0.3869853  ,  0.7598877  ,  0.769043  ,  -2.304077  
  1.2146  ,  0.2586336  ,  0.894165  ,  1.016235  ,  -2.301025  
  0.9918213  ,  0.171779  ,  0.6378174  ,  1.229858  ,  -2.215576  
  -5.187988E-02  ,  0.3175016  ,  0.9979248  ,  1.016235  ,  -2.041626  
  -0.4150391  ,  0.2026606  ,  0.9277344  ,  0.8239746  ,  -1.831055  
  -1.116943  ,  0.1408974  ,  0.3509521  ,  0.3662109  ,  -1.358032  
  0.3356934  ,  0.2769695  ,  0.6225586  ,  0.692749  ,  -1.467896  
  0.3753662  ,  0.3184667  ,  1.000977  ,  0.9277344  ,  -1.629639  
  -0.2380371  ,  0.2731093  ,  1.239014  ,  0.8117676  ,  -1.824951  
  -1.043701  ,  0.2258218  ,  1.165771  ,  0.4364014  ,  -1.733398  
  -0.5950928  ,  0.4805952  ,  1.678467  ,  0.5187988  ,  -2.215576  
  -0.8972168  ,  -5.790303E-03  ,  1.068115  ,  0.4333496  ,  -2.081299  
  -1.358032  ,  -0.248018  ,  -1.031494  ,  -0.4577637  ,  -0.9277344  
  1.690674  ,  0.1544081  ,  -0.7202148  ,  0.6408691  ,  -1.611328  
  -0.3631592  ,  0.1003653  ,  -0.4058838  ,  0.3417969  ,  -1.870728  
  -0.1556396  ,  0.1573032  ,  -0.302124  ,  0.1464844  ,  -1.895142  
  -0.1068115  ,  -5.500788E-02  ,  -0.9735107  ,  0.2593994  ,  -1.821899  
  -0.5859375  ,  0.3281172  ,  -0.5004883  ,  3.967285E-02  ,  -1.559448  
  -0.9490967  ,  0.3686493  ,  0.6561279  ,  0.1251221  ,  -1.71814  
  -1.364136  ,  0.2653889  ,  0.7843018  ,  -0.4058838  ,  -1.522827  
  0.1281738  ,  0.1408974  ,  0.2044678  ,  -0.0793457  ,  -1.705933  
  0.2716064  ,  0.4111115  ,  0.50354  ,  0.1312256  ,  -1.89209  
  0.579834  ,  0.3068861  ,  1.193237  ,  0.5706787  ,  -2.215576  
  -0.5645752  ,  -5.597293E-02  ,  -0.2075195  ,  3.967285E-02  ,  -1.620483  
  -5.493164E-02  ,  0.1360721  ,  -0.50354  ,  -4.272461E-02  ,  -1.486206  
  0.1739502  ,  0.3117113  ,  -9.460449E-02  ,  0.1159668  ,  -1.922607  
  -1.159668  ,  0.1486178  ,  -0.3143311  ,  -0.3967285  ,  -1.934814  
  -1.248169  ,  0.1167711  ,  -0.3753662  ,  -0.4760742  ,  -1.852417  
  -0.2929688  ,  0.0974701  ,  -0.5462646  ,  -0.3295898  ,  -1.577759  
  0.4150391  ,  0.4439233  ,  0.5371094  ,  0.2166748  ,  -1.77002  
  -6.103516E-03  ,  0.2711792  ,  1.16272  ,  0.4058838  ,  -1.870728  
  0.3479004  ,  -3.474182E-02  ,  0.4211426  ,  0.4852295  ,  -1.623535  
  0.2563477  ,  -5.404283E-02  ,  -0.4577637  ,  0.390625  ,  -1.351929  
  0.177002  ,  0.324257  ,  0.1983643  ,  0.6774902  ,  -1.71814  
  -3.051758E-02  ,  0.5114768  ,  1.885986  ,  0.8789063  ,  -2.203369  
  -0.2288818  ,  0.1051905  ,  1.504517  ,  0.7629395  ,  -1.968384  
  -1.815796  ,  -0.1949402  ,  -0.3112793  ,  -0.27771  ,  -1.000977  
  -0.7598877  ,  0.1293168  ,  -0.9094238  ,  -0.4486084  ,  -0.9002686  
  2.154541  ,  0.9245185  ,  2.166748  ,  1.184082  ,  -2.511597  
  -1.342773  ,  -0.1196663  ,  1.596069  ,  0.5187988  ,  -2.084351  
  -3.024292  ,  -0.4333077  ,  -1.876831  ,  -1.254272  ,  -0.5737305  
  0.6958008  ,  9.360991E-02  ,  -1.925659  ,  -0.4699707  ,  -1.35498  
  0.5249023  ,  0.325222  ,  -0.5340576  ,  0.2105713  ,  -2.182007  
  -2.203369  ,  0.1061556  ,  -0.567627  ,  -0.7232666  ,  -2.142334  
  -2.124023  ,  4.149717E-02  ,  -1.422119  ,  -1.480103  ,  -1.678467  
  0.5126953  ,  0.4323426  ,  -0.378418  ,  -0.6317139  ,  -2.078247  
  1.693726  ,  0.4072513  ,  0.8117676  ,  0.4211426  ,  -2.46582  
  0.1190186  ,  0.1013303  ,  0.3173828  ,  0.3265381  ,  -2.23999  
  -2.233887  ,  8.106425E-02  ,  -0.2441406  ,  -0.6561279  ,  -1.864624  
  1.235962  ,  0.3589988  ,  0.3723145  ,  0.3479004  ,  -2.758789  
  -0.7324219  ,  4.053212E-02  ,  0.4150391  ,  -4.272461E-02  ,  -2.478027  
  -9.155273E-02  ,  0.1215964  ,  -3.051758E-03  ,  -8.544922E-02  ,  -2.175903  
  0.2258301  ,  0.3802299  ,  0.8117676  ,  0.2685547  ,  -2.828979  
  0.2288818  ,  0.2953055  ,  1.370239  ,  0.4516602  ,  -3.35083  
  -8.544922E-02  ,  0.1862548  ,  1.507568  ,  0.4394531  ,  -3.158569  
  -0.2746582  ,  7.527395E-02  ,  0.7385254  ,  0.1831055  ,  -2.770996  
  -0.5767822  ,  0.2702142  ,  0.3479004  ,  -6.408691E-02  ,  -2.871704  
  0.9368896  ,  0.3802299  ,  1.05896  ,  0.4943848  ,  -3.460693  
  0.9307861  ,  7.913414E-02  ,  0.8026123  ,  0.894165  ,  -3.424072  
  -1.05896  ,  -0.2209966  ,  -0.2655029  ,  0.1098633  ,  -2.352905  
  -1.327515  ,  -0.2953055  ,  -1.815796  ,  -0.567627  ,  -1.556396  
  -0.390625  ,  8.299435E-02  ,  -1.593018  ,  -0.5004883  ,  -1.776123  
  0.3234863  ,  0.2142412  ,  -0.7141113  ,  -0.1068115  ,  -2.139282  
  -0.4272461  ,  0.0916798  ,  -0.592041  ,  -0.1831055  ,  -2.035522  
  -0.8880615  ,  0.1650236  ,  -0.5859375  ,  -0.3875732  ,  -1.831055  
  -0.8880615  ,  0.2499481  ,  -7.019043E-02  ,  -0.5096436  ,  -1.876831  
  -0.7904053  ,  4.825253E-03  ,  -0.692749  ,  -0.7904053  ,  -1.522827  
  -0.2838135  ,  0.1061556  ,  -1.040649  ,  -0.7080078  ,  -1.651001  
  -0.6378174  ,  0.2470529  ,  -0.4852295  ,  -0.6774902  ,  -1.947021  
  -0.680542  ,  0.248018  ,  -0.4608154  ,  -0.6774902  ,  -1.965332  
  -0.8575439  ,  0.2065208  ,  -0.3295898  ,  -0.7965088  ,  -1.858521  
  -1.593018  ,  0.171779  ,  -0.2929688  ,  -1.153564  ,  -1.66626  
  -2.023315  ,  3.570687E-02  ,  -0.958252  ,  -1.635742  ,  -1.443481  
  -1.147461  ,  0.2924103  ,  -0.6652832  ,  -1.452637  ,  -1.66626  
  -1.577759  ,  0.3561037  ,  9.460449E-02  ,  -1.513672  ,  -1.901245  
  -2.890015  ,  -0.1968703  ,  -1.339722  ,  -2.407837  ,  -1.61438  
  -0.6774902  ,  5.404283E-02  ,  -1.300049  ,  -1.873779  ,  -1.89209  
  -1.150513  ,  0.1862548  ,  -1.159668  ,  -2.01416  ,  -1.611328  
  1.318359  ,  0.4757699  ,  0.2075195  ,  -0.9124756  ,  -2.294922  
  1.934814  ,  0.2933754  ,  0.7965088  ,  6.103516E-02  ,  -2.72522  
